0.0909091;1.20088
0.181818;1.31685
0.272727;1.4417
0.363636;1.57582
0.454545;1.71956
0.545455;1.87331
0.636364;2.03743
0.727273;2.21229
0.818182;2.39826
0.909091;2.59571
1;2.80502
1.09091;2.17244
1.18182;2.29024
1.27273;2.4109
1.36364;2.53437
1.45455;2.66059
1.54545;2.78951
1.63636;2.92108
1.72727;3.05526
1.81818;3.19199
1.90909;3.33122
2;3.47289
2.09091;9.65716
2.18182;10.6262
2.27273;11.669
2.36364;12.7885
2.45455;13.9877
2.54545;15.2694
2.63636;16.6366
2.72727;18.0923
2.81818;19.6393
2.90909;21.2806
3;23.0191
3.09091;12.3351
3.18182;12.5714
3.27273;12.7654
3.36364;12.914
3.45455;13.0139
3.54545;13.0618
3.63636;13.0545
3.72727;12.9888
3.81818;12.8613
3.90909;12.6689
4;12.4083
